row,col,baseline,noise_width,timestamp,chip_name,chip_address,batch_name,batch_id,batch_started_at,save_notes
0,0,508,6,2026-04-10T18:15:36.003836+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,1,502,4,2026-04-10T18:15:36.537335+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,2,511,7,2026-04-10T18:15:37.095834+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,3,511,7,2026-04-10T18:15:37.654129+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,4,504,8,2026-04-10T18:15:38.195163+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,5,512,7,2026-04-10T18:15:38.725201+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,6,514,9,2026-04-10T18:15:39.250530+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,7,514,7,2026-04-10T18:15:39.776504+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,8,522,6,2026-04-10T18:15:40.314389+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,9,520,7,2026-04-10T18:15:40.846112+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,10,531,6,2026-04-10T18:15:41.404896+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,11,524,4,2026-04-10T18:15:41.949213+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,12,537,6,2026-04-10T18:15:42.497972+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,13,531,8,2026-04-10T18:15:43.043775+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,14,543,4,2026-04-10T18:15:43.589627+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
0,15,535,8,2026-04-10T18:15:44.136929+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,0,522,4,2026-04-10T18:15:44.695037+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,1,511,7,2026-04-10T18:15:45.246272+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,2,491,7,2026-04-10T18:15:45.791211+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,3,504,5,2026-04-10T18:15:46.319443+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,4,511,7,2026-04-10T18:15:46.844174+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,5,509,6,2026-04-10T18:15:47.369902+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,6,515,8,2026-04-10T18:15:47.896979+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,7,535,5,2026-04-10T18:15:48.434027+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,8,516,6,2026-04-10T18:15:48.984340+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,9,512,8,2026-04-10T18:15:49.542542+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,10,507,6,2026-04-10T18:15:50.083938+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,11,524,8,2026-04-10T18:15:50.621870+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,12,532,7,2026-04-10T18:15:51.146478+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,13,533,4,2026-04-10T18:15:51.672110+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,14,532,6,2026-04-10T18:15:52.204280+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
1,15,529,8,2026-04-10T18:15:52.760994+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
2,0,500,6,2026-04-10T18:15:53.316305+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
2,1,513,7,2026-04-10T18:15:53.848502+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
2,2,513,5,2026-04-10T18:15:54.381456+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
